"Survey.Number","Too.Cheap","Bargain","Worth.it","Too.Exp"
"S1",NA,30,40,50
"S2",5,10,30,45
"S3",5,25,45,51
"S4",100,100,250,251
"S5",1,10,15,20
"S6",NA,NA,NA,NA
"S7",4,15,21,31
"S8",4,15,21,31
"S9",10,15,25,35
"S10",10,60,120,240
"S11",5,10,12,20
"S12",15,25,30,51
"S13",25,10,50,50
"S14",NA,5,10,11
"S15",10,15,20,45
"S16",10,20,50,400
"S17",25,40,40,50
"S18",20,30,40,50
"S19",10,25,30,50
"S20",20,50,75,76
"S21",5,5,10,15
"S22",1,1,1,1
"S23",NA,NA,NA,NA
"S24",10,25,30,35
"S25",10,10,10,50
"S26",10,25,25,50
"S27",NA,25,30,50
"S28",NA,NA,NA,NA
"S29",10,25,50,51
"S30",240,300,301,600
"S31",25,25,40,50
"S32",NA,NA,NA,NA
"S33",2,10,10,20
"S34",5,10,20,30
"S35",20,35,50,80
"S36",NA,NA,NA,NA
"S37",15,20,45,50
"S38",NA,NA,NA,NA
"S39",5,10,30,45
"S40",NA,25,50,51
"S41",NA,NA,NA,NA
"S42",NA,NA,50,51
"S43",NA,NA,NA,NA
"S44",24,35,50,51
"S45",NA,NA,NA,100
"S46",1,5,10,11
"S47",9,25,40,50
"S48",10,25,25,30
"S49",5,10,15,20
"S50",NA,NA,NA,NA
"S51",15,30,50,NA
"S52",20,20,50,100
"S53",5,10,25,50
"S54",NA,NA,NA,NA
"S55",10,30,50,70
"S56",20,21,45,50
"S57",NA,NA,NA,NA
"S58",10,10,25,50
"S59",NA,10,NA,NA
"S60",10,25,25,50
"S61",5,15,25,50
"S62",NA,NA,NA,NA
"S63",1,10,15,20
"S64",14,25,75,100
"S65",10,30,40,50
"S66",NA,20,40,50
"S67",NA,NA,NA,NA
"S68",9,100,101,150
"S69",10,25,45,87.5
"S70",5,30,47.5,51
"S71",1,1.5,20,30
"S72",20,5,30,40
"S73",1,20,25,30
"S74",NA,NA,NA,NA
"S75",NA,NA,NA,NA
"S76",20,35,200,1000
"S77",27.5,30,30,45
"S78",5,20,50,51
"S79",NA,NA,NA,NA
"S80",NA,NA,NA,NA
"S81",20,15,10,15
"S82",NA,NA,NA,NA
"S83",NA,NA,NA,NA
"S84",10,30,50,51
"S85",NA,NA,NA,NA
"S86",NA,NA,NA,NA
"S87",NA,NA,NA,NA
"S88",10,15,25,45
"S89",NA,NA,NA,NA
"S90",10,25,50,75
"S91",11,10,10,20
"S92",NA,NA,NA,NA
"S93",10,60,60,61
"S94",10,20,25,40
"S95",NA,NA,NA,NA
"S96",5,12.5,22.5,40
"S97",NA,NA,NA,NA
"S98",25,47.5,75,100
"S99",NA,NA,NA,NA
"S100",NA,NA,NA,NA
"S101",NA,NA,NA,NA
"S102",50,20,50,50
"S103",500,100,200,50
"S104",NA,NA,NA,NA
"S105",15,NA,NA,NA
"S106",15,20,25,30
"S107",30,50,60,100
"S108",NA,NA,NA,NA
"S109",NA,NA,NA,NA
"S110",20,40,50,51
"S111",50,100,150,151
"S112",2,2,5,5
"S113",5,10,20,50
"S114",10,20,20,35
"S115",NA,NA,NA,NA
"S116",NA,22.5,25,25
"S117",NA,NA,NA,NA
"S118",19,20,41,51
"S119",NA,5,NA,NA
"S120",25,5,10,3
"S121",NA,NA,NA,NA
"S122",NA,NA,NA,NA
"S123",5,8,10,11
"S124",NA,NA,NA,NA
"S125",10,30,35,50
"S126",NA,NA,NA,NA
"S127",25,50,50,51
"S128",NA,NA,NA,NA
"S129",25,50,50,100
"S130",50,50,75,100
"S131",NA,NA,NA,NA
"S132",5,15,25,40
"S133",NA,NA,NA,NA
"S134",NA,NA,NA,NA
"S135",5,20,30,50
"S136",NA,20,20,50
"S137",NA,NA,NA,NA
"S138",50,NA,NA,NA
"S139",NA,NA,NA,NA
"S140",NA,NA,NA,NA
"S141",24,27.5,30,31
"S142",5,10,25,50
"S143",4,5,20,35
"S144",5,5,30,40
"S145",40,75,100,200
"S146",10,10,15,15
"S147",NA,NA,NA,NA
"S148",50,100,75,101
"S149",35,27.5,57.5,81
"S150",5,25,50,100
"S151",NA,50,90,150
"S152",9,21,35,50
"S153",NA,NA,NA,NA
"S154",NA,NA,NA,NA
"S155",NA,NA,11,11
"S156",10,25,30,35
"S157",5,25,40,45
"S158",10,NA,25,25
"S159",10,NA,NA,10
"S160",25,35,50,76
"S161",25,15,20,30
"S162",10,10,50,100
"S163",10,15,20,25
"S164",5,10,NA,NA
"S165",5,5,NA,NA
"S166",5,6,15,18
"S167",5,10,15,20
"S168",NA,25,NA,NA
"S169",5,12.5,25,60
"S170",20,10,25,31
"S171",10,15,20,40
"S172",10,20,25,26
"S173",15,25,30,50
"S174",12.5,5,15,15
"S175",NA,NA,NA,NA
"S176",50,25,50,100
"S177",NA,10,20,30
"S178",5,30,45,50
"S179",5,7,10,10
"S180",5,15,25,25
"S181",5,15,20,25
"S182",10,10,10,10
"S183",10,5,5,10
"S184",5,25,30,35
"S185",5,15.5,25,27
"S186",5,10,15,50
"S187",NA,NA,NA,NA
"S188",5,15,50,100
"S189",5,12,15,16
"S190",NA,NA,NA,NA
"S191",15,17.5,18.3,20
"S192",NA,5,NA,15
"S193",7.5,22.5,31,41
"S194",20,20,30,75
"S195",NA,NA,NA,NA
"S196",NA,NA,NA,NA
"S197",NA,2,10,10
"S198",NA,NA,NA,NA
"S199",20,1,25,50
"S200",NA,10,20,21
"S201",5,10,15,35
"S202",15,30,40,50
"S203",10,20,40,50
